Animal,Class,Status,Total
African penguin,bird,EN,39
Western lowland gorilla,mammal,CR,33
Grants zebra,mammal,LC,20
Massi giraffe,mammal,VU,20
Scimitar-horned oryx,mammal,EW,20
Red kangaroo,mammal,LC,19
Dart frog,amphibian,LC,19
Black-capped lorikeet,bird,LC,17
Saddle-billed stork,bird,LC,13
Emu,bird,LC,12
Aardvark,mammal,LC,9
African spurred tortoise,reptile,LC,9
Tammar wallaby,mammal,LC,9
Gila monster,reptile,NT,8
Northern bald eagle,bird,LC,8
White rhino,mammal,NT,7
Blue-throated macaw,bird,EN,6
Tropical forest snake,reptile,VU,5
Loggerhead sea turtle,reptile,VU,4
Wyoming Toad,amphibian,EW,3
Chinese alligator,reptile,EN,2
